Name,Total_ct,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
SRP008047,707632.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,611156.0,417780.0,92966.0,108140.0,231034.0,56881.0,175669.0,294285.0,133592.0,109070.0,115653.0,334326.0,311494.0,311332.0,264495.0,403262.0
SRP011011,1095893.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,494833.0,99942.0,135368.0,248814.0,68507.0,203772.0,379975.0,151247.0,120572.0,126796.0,415199.0,375393.0,373644.0,290010.0,457646.0
SRP045211,666292.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,92859.0,99481.0,200709.0,59039.0,168004.0,262447.0,122177.0,104661.0,110180.0,250262.0,239641.0,234862.0,239078.0,359469.0
SRP056054,136262.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39682.0,62700.0,25502.0,89124.0,71251.0,64944.0,64413.0,68818.0,83733.0,82857.0,80037.0,73465.0,85380.0
SRP066479,210857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69092.0,23466.0,52880.0,152468.0,54145.0,47136.0,48551.0,140012.0,123217.0,123980.0,84166.0,104000.0
SRP067325,317414.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17424.0,89304.0,198689.0,72416.0,61501.0,69308.0,211011.0,210816.0,206225.0,173015.0,216205.0
SRP069019,156081.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56950.0,39049.0,49260.0,40621.0,38011.0,42109.0,35188.0,35675.0,37500.0,42113.0
SRP076620,316939.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,118262.0,129140.0,107717.0,118663.0,140594.0,133618.0,133677.0,123576.0,144671.0
SRP080787,659115.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97935.0,82000.0,86579.0,301456.0,271336.0,269900.0,205360.0,277453.0
SRP090628,237166.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,132965.0,140739.0,135080.0,124746.0,122307.0,96678.0,106611.0
SRP090628a,171702.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100963.0,105282.0,100561.0,97078.0,84856.0,92067.0
SRP090628b,181932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,111288.0,105858.0,103874.0,89155.0,99082.0
SRP096283,770545.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,546412.0,545111.0,223591.0,277284.0
SRP096283a,604228.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,445554.0,223172.0,269523.0
SRP096283b,598474.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,220022.0,263272.0
SRP100446,345673.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,232055.0
SRP100575,527225.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
