Name,Ref,ERP002469,ERP003612,ERP004605,ERP005534,ERP005860,ERP005989,ERP008729,ERP009131,ERP010700,ERP012177,ERP012929,ERP012929a,ERP012929b,ERP013562,ERP013933,ERP016813,SRP008047,SRP011011,SRP045211,SRP056054,SRP066479,SRP067325,SRP069019,SRP076620,SRP080787,SRP090628,SRP090628a,SRP090628b,SRP096283,SRP096283a,SRP096283b,SRP100446,SRP100575
ERP002469,0.7813424064113167,-1.0,0.9218864159087767,0.8938691474198265,0.8657832009908338,0.8890514608758217,0.9076585027441726,0.8754752405896268,0.7493808267969515,0.918299906787159,0.8702556991011093,-1.0,0.9312627546960941,0.921940121125567,0.9159479005007358,0.8539891533206275,0.8756610782267453,0.8513428185403863,0.913654819159575,0.8799752268402656,0.8847307161964779,0.6027466925279411,0.836698720182497,0.8838486083767175,0.9012729795705192,0.8256715748737813,0.9209505826079439,0.8870403327391698,0.9319834430208396,-1.0,0.9402370426554152,0.9232820406750265,0.8251669241291006,0.8527139676282779
ERP003612,0.75731413131323,-1.0,-1.0,0.9024209441799397,0.8464400206766444,0.874998974311843,0.9004827576624855,0.8634077910608552,0.7282563058680025,0.9172649283506827,0.821593717627306,-1.0,0.938964796200441,0.9342248699438908,0.8986713510394545,0.839574693235183,0.8678413757630828,0.8489737417435071,0.9106771500610712,0.871537604058438,0.8700996250620228,0.6018933481346916,0.814012615177391,0.8604315499013174,0.87076618351469,0.8064034023901823,0.9166909732095802,0.8971113520592002,0.9100225613578322,-1.0,0.9300294611898934,0.9111055009957628,0.8141950209288665,0.8662842283465214
ERP004605,0.7587693487502029,-1.0,-1.0,-1.0,0.7502338391383248,0.8084575883768547,0.8579142864579928,0.8022444781214232,0.7134074350841139,0.8835966887990577,0.8106096281322821,-1.0,0.9125382604319635,0.8880683876722265,0.8273779677219405,0.7877814708520415,0.8149595334229247,0.7856082635243771,0.8598204441185009,0.8605731217562984,0.8555149128307056,0.560489336982799,0.8060797397813003,0.8267176796806721,0.7882267482777485,0.7284471110683401,0.869691443073326,0.8526701575769748,0.8897255292895074,-1.0,0.9316522504904464,0.9246363080406604,0.7409027052868749,0.843545644306069
ERP005534,0.7318579597261605,-1.0,-1.0,-1.0,-1.0,0.7260603971971389,0.7723408809180898,0.7381215197161526,0.6415707342954664,0.8064654256597069,0.712459433548242,-1.0,0.8676517044215035,0.857964974450603,0.7278405294192147,0.7127580073720274,0.7610281819326017,0.7355909337949266,0.7731944906053431,0.8286725707659657,0.7993489952739112,0.5394349378307889,0.8035938332565891,0.8309625117437234,0.7917636383096635,0.7091366050770324,0.8628106933686812,0.8497168521580329,0.8970624039470613,-1.0,0.9270025654092228,0.8917298622534072,0.6897457660969762,0.8135906150772421
ERP005860,0.7376329365860779,-1.0,-1.0,-1.0,-1.0,-1.0,0.7918661637870577,0.7433216669334693,0.8075143170255688,0.8021025023349158,0.8233129071590374,-1.0,0.8770635119676388,0.8044148574258954,0.815824395412125,0.7846317413562747,0.819004318779089,0.7854453783601402,0.8371946756829747,0.8418859251489528,0.834459285376855,0.5726155612718583,0.8136017271736109,0.8051448869927603,0.7300386496807998,0.7213116887202004,0.8214817879096191,0.7901540925761427,0.8697414564962587,-1.0,0.9352884963975426,0.9025268106220663,0.7812286069134321,0.8146789484436078
ERP005989,0.7132981130922158,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8239310277679218,0.7481472995013406,0.8936183172580427,0.8514726970454689,-1.0,0.9121329397841242,0.8588289937441566,0.8671443047807607,0.8016868710267032,0.8499310834571662,0.7953695626152867,0.8841912000278261,0.8469629182809272,0.859973348413256,0.5345097447141625,0.7829361872192377,0.7877849645674182,0.8484647799341974,0.6709899209397905,0.8857157340467127,0.8563156978875222,0.8902592379989317,-1.0,0.914780691208145,0.8873412422927197,0.7548167926707224,0.7939341700960003
ERP008729,0.6756767506680853,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.6887028361099233,0.8419579758648473,0.767833751589022,-1.0,0.8749098906274895,0.8313475220053421,0.7889853692912743,0.7652153533525297,0.7676470735521228,0.7335322490808377,0.8099998666173862,0.7771505616374988,0.8030705496775509,0.5171807394757427,0.769007391591957,0.6858741858280074,0.7719499598635745,0.6787046807837265,0.8418334790539498,0.7971524914403243,0.85159740846527,-1.0,0.8875247526122564,0.8316578462808402,0.7449306664558936,0.7498414697195264
ERP009131,0.6762481373081735,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7173455519613195,0.6726149945386662,-1.0,0.7798467564110231,0.7670168010204429,0.7687916216691623,0.679031531619872,0.7916062969002593,0.7838967698486425,0.7840416555402983,0.8133521484414235,0.8160608407067208,0.46487078978375,0.7206724940814664,0.7889589645773901,0.8110580287362427,0.6395195231207229,0.8403763525181889,0.8191674051617353,0.841919267026801,-1.0,0.8247476711164567,0.8224442790985542,0.7419425661687902,0.7940913577275943
ERP010700,0.7514132093817569,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8193542312393217,-1.0,0.9198041662907779,0.8960549181203668,0.8333037114775831,0.8173168281302086,0.8393103402937818,0.8063163351848833,0.8883566757608784,0.8611661179558452,0.8634916459332802,0.5344646900262545,0.8006199028397932,0.8040568948622926,0.8313362137554532,0.7158997036282286,0.8801240456033091,0.8707586829010486,0.8680587678469199,-1.0,0.9357450115925621,0.9111839139940412,0.7651503586105368,0.8249954706416025
ERP012177,0.7039990485255316,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.8628813368199598,0.812524061251803,0.8201029282933116,0.7744899893433708,0.8494132099367869,0.79663930727291,0.873833117335696,0.8495344547142034,0.8188668320577315,0.5184339595485147,0.7636512662399257,0.8089145692960442,0.7988645181414825,0.7007502624982054,0.8703590559989998,0.8591800309797584,0.8511355296434999,-1.0,0.9165094490001112,0.8675811958406211,0.7311575869639949,0.7994682538043453
